temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed
45.0,57.9,0.0,0.0,0.0,6.26,30,14.09,40,21.03
42.1,73.9,0.0,0.0,0.0,0.89,80,8.05,100,12.08
36.0,54.0,0.0,0.0,0.0,7.38,250,21.03,270,31.09
25.0,36.0,0.0,0.0,0.0,3.36,290,12.08,290,16.11
25.0,53.1,0.0,0.0,0.0,0.45,50,6.04,160,10.07
19.9,48.0,0.0,0.0,0.0,5.37,210,12.97,230,17.9
23.0,57.0,0.0,0.0,0.0,3.58,220,8.95,220,12.97
35.1,66.0,0.0,0.0,0.0,1.79,240,12.08,230,14.09
27.0,41.0,0.0,0.0,0.0,7.61,240,17.9,230,25.95
36.0,52.0,0.29,0.0,0.0,2.46,110,16.11,110,19.91
42.1,68.0,0.0,0.0,0.0,4.47,80,16.11,70,21.92
64.9,93.9,0.0,0.0,0.0,7.61,240,14.99,240,21.03
57.9,79.0,0.0,0.0,0.0,2.68,30,8.95,40,14.09
75.0,97.0,0.0,0.0,0.0,7.83,230,17.0,260,29.08
79.0,100.0,0.0,0.0,0.0,9.62,230,17.9,240,25.95
70.0,90.0,0.0,0.0,0.0,2.68,50,12.97,110,19.91
64.9,97.0,0.0,0.0,0.0,2.24,50,10.07,30,16.11
71.1,91.0,0.0,0.0,0.0,8.95,280,17.9,270,23.94
63.0,87.1,0.0,0.0,0.0,3.58,60,16.11,50,23.04
60.1,96.1,0.0,0.0,0.0,4.03,280,16.11,280,23.94
60.1,93.0,0.0,0.0,0.0,2.01,80,10.07,130,14.99
71.1,99.0,0.0,0.0,0.0,6.71,220,14.99,220,19.91
70.0,96.1,0.0,0.0,0.0,7.83,170,14.99,230,21.03
68.0,77.0,1.84,0.0,0.0,7.83,160,21.92,170,31.09
57.0,88.0,0.0,0.0,0.0,3.8,230,14.09,240,17.0
52.0,64.9,0.1,0.0,0.0,2.24,40,8.05,50,12.08
43.0,68.0,0.0,0.0,0.0,2.91,290,10.07,330,17.0
46.9,78.1,0.0,0.0,0.0,5.82,230,16.11,230,23.04
36.0,64.9,0.0,0.0,0.0,5.82,220,17.0,250,19.91
46.0,63.0,0.0,0.0,0.0,8.5,50,16.11,50,23.94
45.0,55.9,0.02,0.0,0.0,4.03,40,10.07,40,12.97
39.9,66.0,0.0,0.0,0.0,4.03,40,14.99,40,31.99
39.9,70.0,0.0,0.0,0.0,1.79,230,8.05,150,12.97
54.0,66.9,0.38,0.0,0.0,8.28,250,25.05,280,36.91
39.9,64.9,0.09,0.0,0.0,7.16,240,31.09,250,42.95
46.0,63.0,0.0,0.0,0.0,5.14,80,12.08,120,14.99
19.9,42.1,0.0,0.0,0.0,2.24,350,8.05,300,12.97
36.0,52.0,0.4,0.0,0.0,7.61,190,21.03,240,29.97
16.0,35.1,0.0,0.0,0.0,10.07,280,17.9,300,31.09
21.9,46.9,0.0,0.0,0.0,0.89,350,8.95,340,14.09
28.9,61.0,0.0,0.0,0.0,2.91,230,14.09,240,17.0
26.1,46.0,0.0,0.0,0.0,0.67,150,6.04,20,8.95
19.0,35.1,0.0,0.0,0.0,4.03,330,12.97,300,21.03
32.0,46.9,0.0,0.0,0.0,4.7,20,12.97,10,21.92
28.0,46.9,0.0,0.0,0.0,7.16,300,17.9,290,31.99
17.1,32.0,0.0,0.0,0.0,5.82,50,14.09,40,17.9
37.9,43.0,0.37,0.0,0.0,6.26,280,14.99,290,25.05
28.0,48.0,0.0,0.0,0.0,2.68,240,12.08,240,14.99
28.0,55.9,0.0,0.0,0.0,4.47,270,17.0,270,23.94
34.0,53.1,0.0,0.0,0.0,4.47,160,8.95,160,14.09
35.1,48.9,0.92,0.0,0.0,8.05,230,21.03,230,25.95
30.0,54.0,0.0,0.0,0.0,2.01,240,8.95,220,12.97
21.0,51.1,0.0,0.0,0.0,1.12,330,6.93,320,10.07
25.0,61.0,0.0,0.0,0.0,6.93,230,17.9,220,23.94
34.0,63.0,0.0,0.0,0.0,5.37,230,17.9,230,21.92
52.0,78.1,0.0,0.0,0.0,10.74,230,17.9,280,23.04
28.9,53.1,0.0,0.0,0.0,3.36,50,8.95,50,12.97
35.1,53.1,0.0,0.0,0.0,10.74,70,21.03,80,29.08
46.9,64.0,0.05,0.0,0.0,2.91,270,10.07,300,14.09
55.9,75.0,0.0,0.0,0.0,5.82,40,17.9,50,25.05
52.0,75.0,0.0,0.0,0.0,12.75,240,27.96,240,36.01
50.0,82.9,0.45,0.0,0.0,6.71,230,25.95,220,36.01
39.9,48.0,1.05,0.0,0.0,7.83,100,21.92,100,29.08
37.9,55.0,0.0,0.0,0.0,6.26,280,17.9,290,29.97
37.0,64.9,0.0,0.0,0.0,8.95,270,27.96,280,42.95
53.1,82.0,0.06,0.0,0.0,5.14,30,21.92,20,31.99
46.9,72.0,0.0,0.0,0.0,5.14,290,14.09,270,21.92
55.0,73.0,0.01,0.0,0.0,5.82,120,16.11,360,21.92
68.0,82.9,0.0,0.0,0.0,10.29,190,17.9,190,25.05
63.0,79.0,0.12,0.0,0.0,4.7,170,14.09,170,16.11
77.0,95.0,0.0,0.0,0.0,4.92,90,14.09,30,23.04
73.0,96.1,0.0,0.0,0.0,5.59,280,12.97,260,21.03
60.1,86.0,0.0,0.0,0.0,2.01,90,12.08,90,16.11
66.9,82.9,0.43,0.0,0.0,3.36,120,8.05,,
66.9,78.1,0.03,0.0,0.0,3.8,90,8.05,,
61.0,84.0,0.0,0.0,0.0,4.25,240,16.11,280,21.92
54.0,68.0,0.84,0.0,0.0,10.51,250,25.95,260,34.9
39.9,69.1,0.0,0.0,0.0,1.57,80,8.95,90,14.09
36.0,66.9,0.17,0.0,0.0,4.03,180,12.97,180,17.0
46.9,55.0,1.43,0.0,0.0,11.41,40,21.03,30,29.08
33.1,53.1,0.0,0.0,0.0,5.82,300,16.11,300,21.92
60.1,77.0,0.0,0.0,0.0,4.7,220,12.08,230,14.09
48.9,73.9,0.18,0.0,0.0,12.08,190,21.92,290,34.9
44.1,59.0,0.0,0.0,0.0,12.97,220,23.04,210,29.97
34.0,64.0,0.0,0.0,0.0,1.79,150,8.95,150,14.09
32.0,53.1,0.0,0.0,0.0,5.59,230,16.11,230,19.91
36.0,68.0,0.0,0.0,0.0,10.07,230,17.0,230,21.92
39.9,64.9,0.0,0.0,0.0,2.46,220,14.99,230,19.91
50.0,78.1,0.09,0.0,0.0,17.45,230,36.01,220,46.08
34.0,54.0,0.17,0.0,0.0,5.37,300,19.91,260,31.09
55.9,68.0,0.03,0.0,0.0,3.8,330,12.97,20,17.9
60.1,86.0,0.0,0.0,0.0,6.93,60,17.0,80,23.94
54.0,62.1,0.0,0.0,0.0,6.04,80,14.99,50,21.92
55.0,77.0,0.0,0.0,0.0,3.36,30,12.08,30,16.11
57.9,78.1,0.0,0.0,0.0,5.59,140,12.97,130,21.03
61.0,80.1,0.0,0.0,0.0,7.83,200,16.11,170,21.92
51.1,72.0,0.0,0.0,0.0,3.8,290,14.09,290,21.03
60.1,75.0,0.15,0.0,0.0,5.59,190,14.09,180,21.92
63.0,75.0,0.49,0.0,0.0,6.26,180,16.11,180,23.04
52.0,82.0,0.0,0.0,0.0,6.49,30,21.03,40,27.96
66.0,82.0,0.0,0.0,0.0,1.34,50,8.95,150,14.99
64.9,89.1,0.0,0.0,0.0,6.26,200,14.09,200,17.9
68.0,82.9,0.43,0.0,0.0,7.61,50,19.91,50,25.05
53.1,80.1,0.0,0.0,0.0,6.26,40,17.0,40,23.94
48.0,69.1,0.0,0.0,0.0,6.93,230,17.0,230,21.03
34.0,54.0,0.0,0.0,0.0,6.93,270,17.0,260,23.04
28.0,35.1,0.8,0.0,0.0,5.82,90,12.97,90,17.0
30.9,46.9,0.0,0.0,0.0,6.49,290,19.91,310,25.05
32.0,64.0,0.0,0.0,0.0,11.41,230,19.91,230,23.04
19.9,39.9,0.0,0.0,0.0,7.83,270,17.9,280,23.94
27.0,48.0,0.0,0.0,0.0,3.13,300,14.99,280,17.9
21.9,42.1,0.0,0.0,0.0,3.36,360,14.09,10,19.91
41.0,61.0,0.0,0.0,0.0,2.46,210,8.95,230,12.08
34.0,50.0,0.0,0.0,0.0,6.93,280,17.0,280,23.04
26.1,64.0,0.0,0.0,0.0,8.5,240,21.92,240,29.97
33.1,48.9,0.0,0.0,0.0,7.38,330,19.91,330,29.08
28.0,48.9,0.0,0.0,0.0,4.25,240,14.09,350,19.91
41.0,57.9,0.0,0.0,0.0,3.58,310,14.99,320,23.94
30.0,57.0,0.01,0.0,0.0,2.46,360,16.11,290,25.95
46.0,59.0,0.73,0.0,0.0,6.49,140,17.9,150,25.05
46.9,72.0,0.0,0.0,0.0,7.61,360,19.91,320,29.08
44.1,57.9,0.04,0.0,0.0,4.47,90,12.97,90,16.11
52.0,82.9,0.0,0.0,0.0,11.41,230,21.92,240,25.95
63.0,82.9,0.25,0.0,0.0,11.18,220,21.03,230,23.94
59.0,75.9,0.0,0.0,0.0,6.71,270,16.11,290,21.92
53.1,80.1,0.0,0.0,0.0,6.49,300,17.9,290,25.05
63.0,90.0,0.0,0.0,0.0,8.72,230,14.99,230,19.91
57.0,71.1,0.0,0.0,0.0,9.62,80,17.0,50,21.03
55.0,66.0,0.01,0.0,0.0,2.68,320,6.93,90,8.95
